Starting training for 1000 steps...
Step 0163 | Loss: 0.127934 | Recall@32: 1.000 | Sparsity: 0.878 | StepTime: 48.590s
Step 0164 | Loss: 0.132435 | Recall@32: 1.000 | Sparsity: 0.807 | StepTime: 62.954s
Step 0165 | Loss: 0.134468 | Recall@32: 1.000 | Sparsity: 0.762 | StepTime: 72.328s
Step 0166 | Loss: 0.128421 | Recall@32: 1.000 | Sparsity: 0.873 | StepTime: 53.789s
Step 0167 | Loss: 0.128901 | Recall@32: 1.000 | Sparsity: 0.865 | StepTime: 67.352s
Step 0168 | Loss: 0.132706 | Recall@32: 1.000 | Sparsity: 0.798 | StepTime: 53.805s
Step 0169 | Loss: 0.131200 | Recall@32: 1.000 | Sparsity: 0.824 | StepTime: 50.837s
Step 0170 | Loss: 0.128977 | Recall@32: 1.000 | Sparsity: 0.863 | StepTime: 48.230s
Step 0171 | Loss: 0.132370 | Recall@32: 1.000 | Sparsity: 0.809 | StepTime: 60.543s
Step 0172 | Loss: 0.135578 | Recall@32: 1.000 | Sparsity: 0.749 | StepTime: 58.320s
Step 0173 | Loss: 0.128602 | Recall@32: 1.000 | Sparsity: 0.867 | StepTime: 75.887s
Step 0174 | Loss: 0.130194 | Recall@32: 1.000 | Sparsity: 0.837 | StepTime: 63.853s
Step 0175 | Loss: 0.130073 | Recall@32: 1.000 | Sparsity: 0.841 | StepTime: 54.785s
Step 0176 | Loss: 0.132561 | Recall@32: 1.000 | Sparsity: 0.798 | StepTime: 68.800s
Step 0177 | Loss: 0.132613 | Recall@32: 1.000 | Sparsity: 0.799 | StepTime: 68.365s
Step 0178 | Loss: 0.132901 | Recall@32: 1.000 | Sparsity: 0.791 | StepTime: 71.050s
Step 0179 | Loss: 0.129220 | Recall@32: 1.000 | Sparsity: 0.861 | StepTime: 59.195s
Step 0180 | Loss: 0.127585 | Recall@32: 1.000 | Sparsity: 0.880 | StepTime: 51.290s
Saved checkpoint: checkpoints/c2fab_weights_step_180.pt
Step 0181 | Loss: 0.129276 | Recall@32: 1.000 | Sparsity: 0.860 | StepTime: 49.550s
Step 0182 | Loss: 0.129191 | Recall@32: 1.000 | Sparsity: 0.860 | StepTime: 49.937s
Step 0183 | Loss: 0.130758 | Recall@32: 1.000 | Sparsity: 0.826 | StepTime: 70.639s
Step 0184 | Loss: 0.135422 | Recall@32: 1.000 | Sparsity: 0.750 | StepTime: 62.124s
Step 0185 | Loss: 0.132548 | Recall@32: 1.000 | Sparsity: 0.797 | StepTime: 58.733s
Step 0186 | Loss: 0.129946 | Recall@32: 1.000 | Sparsity: 0.848 | StepTime: 42.342s
Step 0187 | Loss: 0.131495 | Recall@32: 1.000 | Sparsity: 0.821 | StepTime: 50.862s
Step 0188 | Loss: 0.132649 | Recall@32: 1.000 | Sparsity: 0.798 | StepTime: 57.544s
Step 0189 | Loss: 0.131660 | Recall@32: 1.000 | Sparsity: 0.814 | StepTime: 69.889s
Step 0190 | Loss: 0.127744 | Recall@32: 1.000 | Sparsity: 0.884 | StepTime: 51.063s
Step 0191 | Loss: 0.134823 | Recall@32: 1.000 | Sparsity: 0.761 | StepTime: 53.238s
Step 0192 | Loss: 0.135130 | Recall@32: 1.000 | Sparsity: 0.758 | StepTime: 52.563s
Step 0193 | Loss: 0.129203 | Recall@32: 1.000 | Sparsity: 0.857 | StepTime: 51.650s
Step 0194 | Loss: 0.132684 | Recall@32: 1.000 | Sparsity: 0.795 | StepTime: 76.115s
Step 0195 | Loss: 0.134023 | Recall@32: 1.000 | Sparsity: 0.777 | StepTime: 81.575s
Step 0196 | Loss: 0.133325 | Recall@32: 1.000 | Sparsity: 0.786 | StepTime: 69.371s
Step 0197 | Loss: 0.128698 | Recall@32: 1.000 | Sparsity: 0.866 | StepTime: 71.035s
Step 0198 | Loss: 0.132536 | Recall@32: 1.000 | Sparsity: 0.804 | StepTime: 67.199s
Step 0199 | Loss: 0.134562 | Recall@32: 1.000 | Sparsity: 0.762 | StepTime: 52.176s
Step 0200 | Loss: 0.134023 | Recall@32: 1.000 | Sparsity: 0.780 | StepTime: 70.933s
Saved checkpoint: checkpoints/c2fab_weights_step_200.pt
Step 0201 | Loss: 0.135294 | Recall@32: 1.000 | Sparsity: 0.752 | StepTime: 49.760s
Step 0202 | Loss: 0.133218 | Recall@32: 1.000 | Sparsity: 0.786 | StepTime: 61.658s
Step 0203 | Loss: 0.129451 | Recall@32: 1.000 | Sparsity: 0.855 | StepTime: 84.939s
Step 0204 | Loss: 0.133760 | Recall@32: 1.000 | Sparsity: 0.780 | StepTime: 63.008s
Step 0205 | Loss: 0.130689 | Recall@32: 1.000 | Sparsity: 0.831 | StepTime: 67.854s
Step 0206 | Loss: 0.127137 | Recall@32: 1.000 | Sparsity: 0.891 | StepTime: 55.434s
Step 0207 | Loss: 0.128148 | Recall@32: 1.000 | Sparsity: 0.872 | StepTime: 52.831s
Step 0208 | Loss: 0.128516 | Recall@32: 1.000 | Sparsity: 0.869 | StepTime: 67.057s
Step 0209 | Loss: 0.127295 | Recall@32: 1.000 | Sparsity: 0.885 | StepTime: 72.357s
Step 0210 | Loss: 0.129168 | Recall@32: 1.000 | Sparsity: 0.857 | StepTime: 57.984s
Step 0211 | Loss: 0.128510 | Recall@32: 1.000 | Sparsity: 0.869 | StepTime: 65.290s
Step 0212 | Loss: 0.129948 | Recall@32: 1.000 | Sparsity: 0.844 | StepTime: 60.629s
Step 0213 | Loss: 0.131681 | Recall@32: 1.000 | Sparsity: 0.814 | StepTime: 64.522s
Step 0214 | Loss: 0.133565 | Recall@32: 1.000 | Sparsity: 0.780 | StepTime: 52.570s
Step 0215 | Loss: 0.128502 | Recall@32: 1.000 | Sparsity: 0.869 | StepTime: 52.412s
Step 0216 | Loss: 0.134523 | Recall@32: 1.000 | Sparsity: 0.762 | StepTime: 49.482s
Step 0217 | Loss: 0.133471 | Recall@32: 1.000 | Sparsity: 0.783 | StepTime: 53.350s
Step 0218 | Loss: 0.134003 | Recall@32: 1.000 | Sparsity: 0.772 | StepTime: 53.715s
Step 0219 | Loss: 0.129144 | Recall@32: 1.000 | Sparsity: 0.862 | StepTime: 52.478s
Step 0220 | Loss: 0.129267 | Recall@32: 1.000 | Sparsity: 0.857 | StepTime: 68.856s
Saved checkpoint: checkpoints/c2fab_weights_step_220.pt
Step 0221 | Loss: 0.134710 | Recall@32: 1.000 | Sparsity: 0.754 | StepTime: 56.917s
Step 0222 | Loss: 0.133967 | Recall@32: 1.000 | Sparsity: 0.780 | StepTime: 50.912s
Step 0223 | Loss: 0.133725 | Recall@32: 1.000 | Sparsity: 0.775 | StepTime: 67.241s
Step 0224 | Loss: 0.129418 | Recall@32: 1.000 | Sparsity: 0.851 | StepTime: 85.056s
Step 0225 | Loss: 0.127800 | Recall@32: 1.000 | Sparsity: 0.879 | StepTime: 62.777s
Step 0226 | Loss: 0.127469 | Recall@32: 1.000 | Sparsity: 0.881 | StepTime: 76.118s
Step 0227 | Loss: 0.134718 | Recall@32: 1.000 | Sparsity: 0.762 | StepTime: 61.624s
Step 0228 | Loss: 0.132220 | Recall@32: 1.000 | Sparsity: 0.808 | StepTime: 48.155s
Step 0229 | Loss: 0.133149 | Recall@32: 1.000 | Sparsity: 0.787 | StepTime: 72.715s
Step 0230 | Loss: 0.132472 | Recall@32: 1.000 | Sparsity: 0.799 | StepTime: 54.143s
Step 0231 | Loss: 0.132515 | Recall@32: 1.000 | Sparsity: 0.799 | StepTime: 44.191s
Step 0232 | Loss: 0.132442 | Recall@32: 1.000 | Sparsity: 0.797 | StepTime: 56.817s
Step 0233 | Loss: 0.129997 | Recall@32: 1.000 | Sparsity: 0.848 | StepTime: 54.253s
Step 0234 | Loss: 0.132477 | Recall@32: 1.000 | Sparsity: 0.801 | StepTime: 44.062s
Step 0235 | Loss: 0.131536 | Recall@32: 1.000 | Sparsity: 0.819 | StepTime: 34.835s
Step 0236 | Loss: 0.133202 | Recall@32: 1.000 | Sparsity: 0.784 | StepTime: 57.936s
